,level_0,index,propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,superTopHighlight,floor,hasLift,parkingSpace,district,labels,highlight,neighborhood
0,0,0.0,32941210,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3b/df/b7/225765678.jpg,VM1040/23OZ,26,80000.0,chalet,sale,136.0,2,1,Pinheiro da Bemposta - Travanca - Palmaz,Aveiro,Pinheiro da Bemposta - Travanca - Palmaz,pt,40.8067333,-8.4575202,False,https://www.idealista.pt/imovel/32941210/,40629,"Casa para remodelar ubicada en zona tranquila y con naturaleza circundante. Se vende tal cual por 80.000€, aunque también se puede vender completamente terminado por 150.000€. Con el trabajo terminado en el techo, tejas tipo sándwich y pisos terminados.Claraboyas en el techo aportando mucha luz natural a tus estancias. Contiene un patio con muros y portón promoviendo la privacidad, donde poder tener momentos de ocio y disfrutar de la tranquilidad del espacio exterior. Tiene una exposición solar privilegiada durante todo el día. La posibilidad de contrastar el carácter rústico de los muros de piedra con los elementos modernos la transforma en una casa con potencial. Podría ser una opción para vivienda privada o turismo rural por la belleza de su ubicación cerca del río y senderos para caminar. Si te gusta la paz y la naturaleza, ¡tenemos una buena opción para ti! En Exclusivodisseia ofrecemos servicios inmobiliarios de alta calidad con dinamismo y amplia experiencia. Establecemos estándares de excelencia en nuestro desempeño para garantizar la satisfacción total de nuestros clientes en todas las etapas del proceso inmobiliario. Cuente con nuestros agentes experimentados para ayudarlo a comprar, vender o alquilar propiedades de manera eficiente y efectiva. Nuestra prioridad es maximizar sus resultados. ¡Ven a hablar con nosotros hoy! Exclusivodisseia, Unipessoal, - Lda AMI: 13108 REF: VM1040/23OZ.",False,good,False,588.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Pinheiro da Bemposta - Travanca - Palmaz, Oliveira de Azeméis', 'title': 'Casa independiente'}",True,False,False,False,False,False,,,,,,,
1,1,1.0,32351799,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/29/ff/f9/226930374.jpg,125971010-144,21,149000.0,flat,sale,150.0,4,2,"Travessa do caires, 7",Braga,Maximinos - Sé - Cividade,pt,41.5468546,-8.43382,True,https://www.idealista.pt/imovel/32351799/,44586,"Se vende apartamento de 3 habitaciones Apartamento de 3+1 dormitorios en Rua de Caires, muy bien situado cerca de la estación de tren de Braga. La propiedad se beneficia de: - Hall de entrada. - Amplia cocina. - Amplio salón con acceso a uno de los balcones. - 3 amplios dormitorios uno de los cuales tiene salida a otro balcón que tiene este apartamento. - 2 baños. - 1 dormitorio extra que se puede utilizar de diferentes maneras: como oficina, habitación adicional o incluso trastero También dispone de un anexo en la misma planta que el apartamento de más de 40m2.",True,good,False,993.0,{'typology': 'flat'},"{'subtitle': 'Maximinos - Sé - Cividade, Braga', 'title': 'Piso en Travessa do caires, 7'}",True,True,False,False,False,False,2,False,,,,,
2,2,2.0,32995699,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/34/61/54/227896722.jpg,DCC778,22,129000.0,flat,sale,95.0,2,1,Mozelos,Aveiro,Mozelos,pt,41.0011468,-8.5537186,False,https://www.idealista.pt/imovel/32995699/,17853,"Este apartamento de 2 dormitorios en Mozelos, Santa Maria da Feira, ofrece un ambiente acogedor y funcional. Con dos dormitorios, un amplio salón con chimenea, cocina equipada, lavadero con generoso espacio de almacenamiento, es perfecto para vivir cómodamente. Además, incluye una plaza de aparcamiento y está ubicado en una zona residencial tranquila. Situado en una zona tranquila, el apartamento se encuentra en una ubicación con buen acceso a la autopista, colegios y supermercados. Su atractivo valor y bajos costos de condominio hacen de esta la casa ideal en Santa Maria da Feira. Reserve una visita ahora y descubra la calidad de vida que ofrece esta propiedad. DCC Investments es una empresa de consultoría inmobiliaria especializada en este mercado, con adecuada formación y rigor ético, dando especial dedicación a sus clientes con un trato personalizado. Trabajamos con cada propiedad de forma especial y con cada cliente de forma única, diferenciada y exclusiva, atendiendo a sus intereses. Su acción se basa en el seguimiento, de principio a fin, de cada proceso, en todas sus etapas, de negociación, jurídica y burocrática, relacionados con la propiedad. Logra buscar la confianza de los clientes, verificando su renovación de los servicios prestados.",False,good,False,1358.0,{'typology': 'flat'},"{'subtitle': 'Mozelos, Santa Maria da Feira', 'title': 'Piso'}",False,False,False,False,False,False,,False,,,,,
3,3,3.0,31492300,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a5/f5/7f/156524388.jpg,,11,275000.0,chalet,sale,357.0,4,5,Rua António Pereira da Silva,Braga,Caldas de Vizela,pt,41.3782054,-8.3093846,False,https://www.idealista.pt/imovel/31492300/,32984,"Edificio emblemático de singular belleza en propiedad total en el centro de Vizela. Insertado en la antigua Quinta de Santa Susana, esta propiedad consta de planta baja y 1er piso. Edificio de unos 700 m² de área interior, implementado en un terreno de aproximadamente 1.200 m². ATENCIÓN INVERSORES: Posibilidad de constitución de propiedad horizontal con dos finalidades: vivienda y comercio. Precio: 495.000, 00 € Quienes somos: Habivizela - Sociedade de Mediação Imobiliária LDA es la empresa de Mediación Inmobiliaria más antigua de la ciudad de Vizela.Fue fundada el 17 de abril de 1998 y ya ha vendido más de 1500 propiedades. También es un intermediario de crédito certificado por el Banco de Portugal con alianzas con las 8 principales instituciones bancarias de nuestro país. Se enorgullece de estar presente en los principales desarrollos del municipio, incluyendo el Forum Vizela en 2000, Varandas do Forum I, II y III entre 2008 y 2018, Quinta do Poço Quente desde 2015 y Condominio Privado Quinta de Santa Susana desde 2017. También fue responsable de las ventas de la mayoría de las propiedades en Edificio das Polés, Urbanização Vista Alegre, Domus Vizela, Quinta da Portela, Edificio Abade Tagilde, Edificio Rainha, Polígono Industrial de Infias y Polígono Industrial de São Domingos. En otras parroquias del municipio de Vizela, también tuvo participación exclusiva en la venta del Edificio Santa Eulália, Condominio Privado Solar da Ponte, Edificio Porta de Ferro y Zona Industrial São Paio. Actualmente, Habivizela es exclusivamente responsable de la venta de 331 fracciones en la ciudad de Oporto junto con el Campus Universitario de Asprela y el Hospital de S.João, es decir, los proyectos Asprela Domus I, II y III desde 2017.En 2021 venderá dos importantes edificios en la ciudad de Guimarães. Nuestra misión: Brindar un excelente servicio en el mercado inmobiliario, basado en la vasta experiencia, tradición e innovación tecnológica, respetando los más altos estándares de ética, discreción e integridad, contribuyendo al reconocimiento y crecimiento sustentable, y al bienestar de nuestros clientes, encontrando las correctas soluciones de bienes raíces que usted está buscando. Pretendemos seguir creciendo de forma sostenible, proporcionando un excelente servicio en la mediación de la compra y venta de inmuebles, con especial foco en las regiones de Minho y Norte de Portugal, creando valor patrimonial para el cliente.",False,renew,False,770.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Caldas de Vizela, Vizela', 'title': 'Casa independiente en Rua António Pereira da Silva'}",False,False,False,False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,,
4,4,4.0,32646078,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/07/e0/98/214576846.jpg,125181107-99,12,35000.0,chalet,sale,88.0,2,1,Rua Bouça Nova s/n,Braga,Verim - Friande - Ajude,pt,41.644945,-8.2860679,True,https://www.idealista.pt/imovel/32646078/,59084,"Ruina para restauración en la parroquia de Friande, Póvoa de Lanhoso. Vistas despejadas y maravillosas.Se encuentra ubicado, en un lugar súper reservado y tranquilo, siendo uno de los activos de esta propiedad. La superficie total es de 2780m2. ¡No lo dudes! Compruebe su visita.   Ruina para restauración en la parroquia de Friande, Póvoa de Lanhoso. Vistas despejadas y maravillosas.Se encuentra en un lugar super reservado y tranquilo, siendo uno de los plus de esta propiedad. La superficie total es de 2780m2. ¡No lo dudes! Reserve su visita.",True,good,False,398.0,{'typology': 'chalet'},"{'subtitle': 'Verim - Friande - Ajude, Póvoa de Lanhoso', 'title': 'Chalet en Rua Bouça Nova s/n'}",True,False,False,False,False,False,,,,,,,
5,5,5.0,31545227,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/cb/a8/54/158406113.jpg,122211249-58,7,23000.0,chalet,sale,66.0,1,1,R. Padre Almeida,Porto,Vila Boa de Quires e Maureles,pt,41.1865367,-8.2176795,False,https://www.idealista.pt/imovel/31545227/,30273,"Casa de piedra para restauración, con una superficie total de 166m2 y 2 plantas.Excelente exposición al sol, vistas abiertas sobre la ciudad de Marco de Canaveses y con buen acceso. Se encuentra situado en un entorno rural en la parroquia de Vila Boa de Quires y Maureles, municipio de Marco de Canaveses, a 10 minutos de la entrada a la autopista A4 y a 15 minutos del centro de Marco de Canaveses y Penafiel. ¡Compruebe su visita! PROPIEDAD EN CAMPAÑA: precio válido para Escrituración hasta el 31/12/2023.",False,good,False,348.0,{'typology': 'chalet'},"{'subtitle': 'Vila Boa de Quires e Maureles, Marco de Canaveses', 'title': 'Chalet en R. Padre Almeida'}",False,False,False,False,False,False,,,,,,,
6,6,6.0,28134723,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/fe/e5/cf/227565784.jpg,045160448,55,765000.0,countryHouse,sale,597.0,9,2,Laborim - Rechousa - Alto das Torres,Porto,Mafamude e Vilar do Paraíso,pt,41.1040387,-8.5971486,False,https://www.idealista.pt/imovel/28134723/,6504,,False,good,False,1281.0,"{'typology': 'countryHouse', 'subTypology': 'countryHouse'}","{'subtitle': 'Mafamude e Vilar do Paraíso, Vila Nova de Gaia', 'title': 'Finca rústica'}",False,False,False,False,False,False,,,,Laborim - Rechousa - Alto das Torres,,,
7,7,7.0,32913742,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/66/3f/65/225800372.jpg,00102,18,40000.0,chalet,sale,162.0,3,1,Gafanhão,Viseu,Gafanhão,pt,40.9004508,-8.0341087,False,https://www.idealista.pt/imovel/32913742/,54005,"Casa, ubicada en Lomba de Ferreiros, en Serra do São Macário, un lugar con impresionantes vistas.Una casa con una superficie bruta de 180,00 m2 en un terreno de 280,00 m2, de arquitectura tradicional, en muy buen estado; excelente vista; zona tranquila, apacible y con buen acceso. Características: Planta baja con – Trastero, bodega de vino, porche; 1.1er piso – Una enorme cocina con chimenea y horno de leña, una sala de estar que da al patio trasero y mira a las montañas con una vista abierta e impresionante, 3 dormitorios y 1 baño con bañera. El patio trasero tiene un olivar y espacio para hacer lo que más te guste. ¡Una oportunidad para los amantes de la naturaleza y la montaña con una de las vistas más bonitas! Está a 22 km de la A24; A 18 km de São Pedro do Sul, a 20 km de los Baños Termales, a 40 km de Viseu. ……………………………………………………………………………………………………………… IMOPRO tiene una preocupación transversal por satisfacer los deseos y necesidades de nuestros clientes. Para ello, presentamos un portafolio de desarrollos y proyectos de vivienda con alta eficiencia térmica que no sólo son económicos sino también amigables con el medio ambiente. Pretendemos trabajar con socios que nos permitan promocionar todas las propiedades del Grupo, ya sean internas o externas. A nuestros clientes ofrecemos: Promoción de propiedades en los principales portales inmobiliarios nacionales y extranjeros, en 65 países de los 5 continentes. Promoción de propiedades en redes sociales Las mejores herramientas para la investigación de mercado Departamento de Marketing para que nuestros asesores puedan trabajar las propiedades de la mejor manera posible Apoyo jurídico Apoyo procesal Apoyo financiero, a través de la intermediación crediticia. Seguimiento durante todo el proceso hasta la redacción Si quieres comprar, construir o vender ¡habla con nosotros!",False,good,False,247.0,{'typology': 'chalet'},"{'subtitle': 'Gafanhão, Castro Daire', 'title': 'Chalet'}",False,False,False,False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,,
8,8,8.0,32537606,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/2a/e9/9f/227170222.jpg,089/23,34,995750.0,chalet,sale,362.0,2,4,Praia de Francelos - Praia de Miramar,Porto,Gulpilhares e Valadares,pt,41.0811893,-8.6486459,False,https://www.idealista.pt/imovel/32537606/,10648,"R / C Casa y Piso con Piscina en Francelos La villa es de 4 frentes, tiene 2 suites (posibilidad de aumentar el número de dormitorios) y 4 baños. Se inserta en una parcela de terreno con 1222 m² y dispone de garaje para 2 coches. Dispone de terraza, jardín, piscina exterior, barbacoa. Está equipado con aire acondicionado, doble acristalamiento, video portero, CCTV y paneles solares. Tipología ideal para una familia que valora el espacio o alguien que pretende invertir con rentabilidad segura. Para obtener más información sobre esta u otra propiedad, visite nuestro sitio web y contáctenos! Somos una empresa con 25 años de experiencia, reconocida por su servicio personalizado, donde prima la profesionalidad, el rigor y el seguimiento en todas las fases del negocio. Contamos con más de 300 propiedades a su disposición y un equipo de profesionales multidisciplinares, experimentados y motivados para proporcionarle el mejor seguimiento posible. ¡Contáctenos! SIGLA, tu inmobiliaria!",True,good,False,2751.0,{'typology': 'chalet'},"{'subtitle': 'Gulpilhares e Valadares, Vila Nova de Gaia', 'title': 'Chalet'}",False,False,False,False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Praia de Francelos - Praia de Miramar,"[{'name': 'bright', 'text': 'Luminoso'}]",{'groupDescription': 'Top'},
9,9,9.0,32572941,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/09/28/8e/211743565.jpg,126311006-272,5,149900.0,chalet,sale,140.0,3,1,Rua Nossa Senhora de Fátima,Braga,Fermentões,pt,41.4564859,-8.3108312,False,https://www.idealista.pt/imovel/32572941/,39733,,False,good,False,1071.0,{'typology': 'chalet'},"{'subtitle': 'Fermentões, Guimarães', 'title': 'Chalet en Rua Nossa Senhora de Fátima'}",False,False,False,False,False,False,,,,,,,
